"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station"
"START_SV4509","PONTE MAGLIO - SANTA VITTORIA IN MATENAN","42.9924029709813","13.5071377395261",,
"START_SV4511","SANTA VITTORIA IN MATENANO CENTRO","43.0204833696144","13.4950257450884",,
"START_TAVPICC","COINCIDENZA TAVERNA PICCININI","42.8267910931589","13.509842777032",,
"START_TE0001","MOSCIANO SANT'ANGELO","42.7124296534581","13.9102631803065",,
"START_TE0002","MOSCIANO SANT'ANGELO","42.7123889987488","13.9103823777883",,
"START_TIBPARTE","TIBURTINA PARTENZE","41.9090623136678","12.528482746229",,
"START_TIBUARRIVI","TIBURTINA ARRVO","41.9096541127376","12.5284024936168",,
"START_TO4001","HOTEL LA SIRENETTA","42.8059766257337","13.941933941305",,
"START_TO4501","HOTEL LA SIRENETTA TORTORETO","42.8058939706079","13.9422472152537",,
"START_TORCH","TORCHIARO - PONZANO DI FERMO","43.0981040665754","13.6713618819953",,
"START_TORRITA","TORRITA","42.620451331411","13.2258264380582",,
"START_TOTAL","PORTO D'ASCOLI - DISTRIBUTORE TOTAL","42.9096642421622","13.8919346408479",,
"START_VE3001","BIVIO PALMIANO","42.8993146738846","13.4723133548109",,
"START_VE3002","VENAROTTA PRATERA","42.8859015272395","13.4913037393401",,
"START_VE3004","BIVIO CASTELLANO","42.8739336108525","13.5119192000949",,
"START_VE3005","BIVIO VALLORANO - VENAROTTA","42.8732167331256","13.5156583422145",,
"START_VE3009","BIVIO CASTELLO","42.8787157151872","13.4904767482613",,
"START_VE3010","VIA SABATINI","42.8805842458858","13.4909741532465",,
"START_VE3011","PARCHEGGIO","42.8813922047389","13.4935197342989",,
"START_VE3012","VIA NARDI","42.881293832917","13.4925456107486",,
"START_VE3014","BIVIO PALMIANO","42.8991118087971","13.4719570406655",,
"START_VE3015","BIVIO OLIBRA","42.8765459233881","13.5054192427703",,
"START_VE3016","BIVIO CEPPARANO","42.8757135462302","13.5089165262014",,
"START_VE3501","BIVIO PALMIANO","42.8991751431715","13.4723168001795",,
"START_VE3502","VENAROTTA PRATERA","42.8858494564832","13.490769262088",,
"START_VE3504","BIVIO CASTELLANO","42.8737140974408","13.5116581846648",,
"START_VE3505","BIVIO VALLORANO - VENAROTTA","42.8730128345091","13.5155591632092",,
"START_VE3509","BIVIO CASTELLO","42.8788680603803","13.4902354121536",,
"START_VE3510","VIA SABATINI","42.8805720161312","13.4907295595837",,
"START_VE3511","PARCHEGGIO","42.8814624493337","13.4933833325177",,
"START_VE3512","VIA NARDI","42.8811754757157","13.4924474739007",,
"START_VE3514","BIVIO VENAROTTA","42.8993490944039","13.4718562557918",,
"START_VE3515","BIVIO OLIBRA","42.8760928326994","13.5055464945609",,
"START_VE3516","BIVIO CEPPARANO","42.8754916738368","13.5084749779775",,
"START_VE4003","VENAROTTA CENTRO","42.8804706951526","13.4956880189607",,
"START_VE4008","CAPO DI PIANO","42.8707916796707","13.4821471021596",,
"START_VE4503","VENAROTTA CENTRO","42.8804739052374","13.4952471364189",,
"START_VE4508","CAPO DI PIANO","42.8707108664981","13.4828438522655",,
"START_VILLACHIAR","VILLA CHIARINI PIAZZALE","42.8830067740123","13.6915246931895",,
"ADR_B020","Bivio Montecelso","43.6948092130732","12.8195684384418","0",
"ADR_BACCEL","Baccelli ( Sc. Olivieri)","43.8983214997123","12.9034774903232","0",
"ADR_CORRID","Malagodi (Sc.Corridoni)","43.8399594100649","13.017592683925","0",
"ADR_F000","Pincio","43.8436508167222","13.0137042426345","0",
"ADR_F010","Roma 1 (Pincio)","43.8419331475209","13.0130072886992","0",
"ADR_F011","Roma 1 (Pincio)","43.8418504723159","13.0131573234397","0",
"ADR_F020","Gramsci 1 (Pincio)","43.8423042455132","13.0139957375654","0",
"ADR_F021","Gramsci 1 (Pincio)","43.8423716707653","13.0140676748869","0",
"ADR_F100","Falcineto Alto 3 (Fattoria)","43.792074500691","12.9793197532744","0",
"ADR_F1004","Della Trave 2 (Umbria)","43.8422578813659","13.0042964240936","0",
"ADR_F101","Falcineto Alto  2","43.7896576935078","12.9780837778139","0",
"ADR_F1011","Del Castello 1 (scuola)","43.8422655740817","12.967960283534","0",
"ADR_F1012","Del Castello 2","43.8474376801546","12.9681920678461","0",
"ADR_F1013","Del Castello 3","43.8495554964247","12.9680517215708","0",
"ADR_F1014","Del Castello 4","43.8528982951416","12.9666753442063","0",
"ADR_F1015","Del Castello 5 (Uliveto)","43.8579841833572","12.9640885499377","0",
"ADR_F1016","Roncosambaccio 1 (Galassa)","43.8623117387146","12.9631572740981","0",
"ADR_F1017","Roncosambaccio 2","43.8641795962791","12.9580942390853","0",
"ADR_F1018","Roncosambaccio 3 (Acli)","43.8653901247959","12.9547987070719","0",
"ADR_F1019","Roncosambaccio 4","43.8665124391573","12.9528656326538","0",
"ADR_F102","Falcineto Alto  1","43.7885938699114","12.9752083048211","0",
"ADR_F1020","Roncosambaccio 5 (centro)","43.8686978873898","12.9492190819539","0",
"ADR_F1021","Roncosambaccio 4","43.8663614106173","12.952727691192","0",
"ADR_F1022","Roncosambaccio 3 (Acli)","43.8652609252634","12.9546226835889","0",
"ADR_F1023","Roncosambaccio 2","43.8640028583232","12.9580287208007","0",
"ADR_F1024","Roncosambaccio 1 (Galassa)","43.8621422186441","12.9632439317319","0",
"ADR_F1025","Del Castello 5 (Uliveto)","43.8578000572423","12.9641134815405","0",
"ADR_F1026","Del Castello 4","43.852906978099","12.9664044411399","0",
"ADR_F1027","Del Castello 3","43.8495329663897","12.967797445386","0",
"ADR_F1028","Del Castello 2","43.8474873005944","12.9679446806612","0",
"ADR_F1029","Del Castello 1 (scuola)","43.8423061411573","12.9677101152848","0",
"ADR_F103","Torno 3","43.7851190773582","12.9699133950118","0",
"ADR_F1033","S. Andrea in Villis 1 (S.Anna)","43.8439433554856","12.9567789507113","0",
"ADR_F1034","S. Andrea in Villis 2 (Ambulatorio Denti","43.8437998483672","12.9535401610764","0",
"ADR_F1036","S. Andrea in Villis 3 (Ristorante)","43.8467225212673","12.9485790955408","0",
"ADR_F1037","S. Andrea in Villis 4  (Cimitero)","43.8481986246049","12.9462984793779","0",
"ADR_F1038","S. Andrea in Villis 5 (Trattoria)","43.8500165259708","12.9422518033316","0",
"ADR_F1039","S. Andrea in Villis 6 (Angeli)","43.8515027533042","12.9405397499584","0",
"ADR_F104","Torno 2 (Cooperativa)","43.7832079868112","12.9728239350904","0",
"ADR_F1040","S. Andrea in Villis 5 (Trattoria)","43.8499533922525","12.9419958215357","0",
"ADR_F1041","S. Andrea in Villis 4  (Cimitero)","43.848205974169","12.9459561062285","0",
"ADR_F1042","S. Andrea in Villis 3 (Ristorante)","43.8466670041454","12.9482451070804","0",
"ADR_F1044","S. Andrea in Villis 2 (Ambulatorio Denti","43.8437591236498","12.9532772072874","0",
"ADR_F1045","S. Andrea in Villis 1 (S.Anna)","43.8437665610999","12.9567103482285","0",
"ADR_F105","Falcineto Basso 3 (Ristorante)","43.7836567089664","12.9773136831755","0",
"ADR_F1055","Della Trave 2 (Umbria)","43.8421074633605","13.0044476044289","0",
"ADR_F106","Falcineto Basso 4","43.786814750318","12.9822808909481","0",
"ADR_F107","Falcineto Basso 5","43.7896287068843","12.9866387382585","0",
"ADR_F108","X Strada 3","43.7929254808441","12.9918384310752","0",
"ADR_F109","X Strada 2","43.7957356698808","12.9949760537498","0",
"ADR_F110","X Strada 1","43.7969364212051","12.9964461478333","0",
"ADR_F111","I Strada  2","43.7968203962633","12.9983021103588","0",
"ADR_F112","I Strada 1 (IX Strada)","43.7950033625758","13.0012692581929","0",
"ADR_F113","VI Strada 5","43.7954198360835","13.0021306487877","0",
"ADR_F114","VI Strada 4","43.7974776984349","13.0026773544453","0",
"ADR_F115","VI Strada 3","43.8000998569637","13.0035720027362","0",
"ADR_F116","VI Strada 2","43.8018828307063","13.0041030873263","0",
"ADR_F118","Chiaruccia 4","43.8085173419634","13.0045565582661","0",
"ADR_F119","Chiaruccia 3","43.8103744634438","13.004951614954","0",
