"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"FS02_5524","1","1","1","1","1","1","1","20180602","20180602"
"FS02_14518","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14504","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14490","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14470","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14193","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14420","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14206","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14341","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14321","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14308","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14288","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14268","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14558","1","1","1","1","1","1","1","20171210","20180609"
"FS02_14450","1","1","1","1","1","1","1","20171210","20180609"
"FS02_787","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5522","1","1","1","1","1","1","1","20180428","20180428"
"FS02_15900","1","1","1","1","1","1","1","20171215","20171215"
"FS02_16036","1","1","1","1","1","1","1","20171213","20171213"
"FS02_16037","1","1","1","1","1","1","1","20171214","20171214"
"FS02_16104","1","1","1","1","1","1","1","20171214","20171214"
"FS02_16105","1","1","1","1","1","1","1","20171215","20171215"
"FS02_33","1","1","1","1","1","1","1","20171210","20180609"
"FS02_81","1","1","1","1","1","1","1","20171210","20180609"
"FS02_130","1","1","1","1","1","1","1","20171210","20180609"
"FS02_179","1","1","1","1","1","1","1","20171210","20180609"
"FS02_228","1","1","1","1","1","1","1","20171210","20180609"
"FS02_350","1","1","1","1","1","1","1","20171210","20180609"
"FS02_441","1","1","1","1","1","1","1","20171210","20180609"
"FS02_15846","1","1","1","1","1","1","1","20171214","20171214"
"FS02_1489","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5851","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5822","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5805","1","1","1","1","1","1","1","20171210","20180609"
"FS02_5789","1","1","1","1","1","1","1","20171210","20180609"
